n,m,tau_a,tau_b,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,bin_a,asym_difficulty
7.0,9.0,0.0,0.0,0.0,0.3333333333333333,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,6.0,0.1111111111111111,0.8888888888888888,4782969.0,2187.0,2187.0,0.00045724737082761767,1.0,"(-0.001, 0.05]",-0.9995427526291724
7.0,9.0,1.0,0.0,0.4444444444444444,0.2222222222222222,19321.0,4782912.0,19264.0,0.997049842140676,0.0040276718451018965,"(0.95, 1.0]",0.9930221702955742
7.0,9.0,0.0,4.0,1.0,0.6666666666666666,4782969.0,1565625.0,1565625.0,0.3273332944453539,1.0,"(0.3, 0.35]",-0.672666705554646
7.0,9.0,0.0,3.0,0.7777777777777777,0.3333333333333333,4782969.0,4566456.0,4566456.0,0.9547325102880658,1.0,"(0.95, 1.0]",-0.04526748971193417
7.0,9.0,1.0,2.0,0.8888888888888888,0.8888888888888888,1.0,823543.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,2.0,0.5555555555555556,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,1.0,0.2222222222222222,0.7777777777777777,4782969.0,3932160.0,3932160.0,0.8221169737876202,1.0,"(0.8, 0.85]",-0.17788302621237984
7.0,9.0,0.0,0.0,0.0,0.4444444444444444,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,1.0,0.6666666666666666,0.5555555555555556,1401.0,4763648.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,6.0,0.1111111111111111,1.0,4782969.0,2187.0,2187.0,0.00045724737082761767,1.0,"(-0.001, 0.05]",-0.9995427526291724
7.0,9.0,1.0,0.0,0.4444444444444444,0.3333333333333333,19321.0,4781568.0,17920.0,0.9274882252471404,0.0037477245957811328,"(0.9, 0.95]",0.9237405006513593
7.0,9.0,1.0,2.0,0.8888888888888888,1.0,1.0,823543.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,4.0,1.0,0.7777777777777777,4782969.0,515625.0,515625.0,0.1078043784101465,1.0,"(0.1, 0.15]",-0.8921956215898534
7.0,9.0,0.0,1.0,0.2222222222222222,0.8888888888888888,4782969.0,2097152.0,2097152.0,0.4384623860200641,1.0,"(0.4, 0.45]",-0.561537613979936
7.0,9.0,0.0,2.0,0.5555555555555556,0.1111111111111111,4782969.0,4782841.0,4782841.0,0.9999732383797596,1.0,"(0.95, 1.0]",-2.6761620240400852e-05
7.0,9.0,0.0,0.0,0.0,0.5555555555555556,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,3.0,0.7777777777777777,0.4444444444444444,4782969.0,3954096.0,3954096.0,0.8267032464563329,1.0,"(0.8, 0.85]",-0.17329675354366714
7.0,9.0,0.0,6.0,0.2222222222222222,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1401.0,4620288.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,1.0,0.0,0.4444444444444444,0.4444444444444444,19321.0,4763648.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,1.0,2.0,1.0,0.0,1.0,4782969.0,1.0,1.0,2.0907515812876894e-07,"(0.95, 1.0]",0.9999997909248419
7.0,9.0,0.0,2.0,0.5555555555555556,0.2222222222222222,4782969.0,4779705.0,4779705.0,0.9993175786838676,1.0,"(0.95, 1.0]",-0.0006824213161323867
7.0,9.0,0.0,1.0,0.2222222222222222,1.0,4782969.0,2097152.0,2097152.0,0.4384623860200641,1.0,"(0.4, 0.45]",-0.561537613979936
7.0,9.0,0.0,3.0,0.7777777777777777,0.5555555555555556,4782969.0,3954096.0,3954096.0,0.8267032464563329,1.0,"(0.8, 0.85]",-0.17329675354366714
7.0,9.0,0.0,4.0,1.0,0.8888888888888888,4782969.0,78125.0,78125.0,0.016333996728810075,1.0,"(-0.001, 0.05]",-0.9836660032711899
7.0,9.0,0.0,6.0,0.2222222222222222,0.1111111111111111,4782969.0,4503033.0,4503033.0,0.9414723365340648,1.0,"(0.9, 0.95]",-0.05852766346593519
7.0,9.0,0.0,0.0,0.0,0.6666666666666666,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,1.0,0.6666666666666666,0.7777777777777777,1401.0,3932160.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,1.0,0.0,0.4444444444444444,0.5555555555555556,19321.0,4763648.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
