,Nstrat,Nutil,TStrat,Tutil,messageCount,runTime,success,totalGeneratedOffers
0,Random Problog,50.59897140591987,Random Problog,53.87856488494756,7,352.4631233215332,True,279
1,Random Problog,61.47847408281389,Random Problog,65.29616166741437,4,204.82055282592773,True,149
2,Random Problog,63.01832154492795,Random Problog,75.72299885628303,1,62.14643335342407,True,46
3,Random Problog,60.64024410092815,Random Problog,56.25606937561299,58,3006.858599424362,True,4401
4,Random Problog,57.39222758523147,Random Problog,53.88726493148246,10,395.24436593055725,True,317
5,Random Problog,61.242907531812605,Random Problog,55.746775690605475,3,168.35300993919373,True,123
6,Random Problog,58.36342337216808,Random Problog,56.87523738021942,23,1297.830246925354,True,1582
7,Random Problog,50.62113603851289,Random Problog,16.482990604143076,101,6255.739974021912,False,10424
8,Random Problog,54.427422875518964,Random Problog,53.34869697514676,8,553.6370964050293,True,554
9,Random Problog,54.3331325547154,Random Problog,96.90038274416985,2,37.29652380943298,True,25
