constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat,id
9,0.0,0.1111111111111111,1185408,1360800,172800,0.1457725947521866,0.12698412698412698,0.018510805682817343,Random,d9669406-9
6,0.7777777777777777,0.5555555555555556,77038,1089390,184,0.0023884316830655003,0.0001689018625102121,4.0341055974816366e-07,Random,f314817c-6
14,0.0,0.3333333333333333,453600,495359,6705,0.014781746031746031,0.013535637789966469,0.00020008036018898847,Random,d9669406-14
16,0.5555555555555556,0.3333333333333333,266061,312331,233,0.000875739022254295,0.0007460034386596271,6.533043219701238e-07,Random,87f249a0-16
17,0.6666666666666666,0.5555555555555556,102280,141841,0,0.0,0.0,0.0,Random,87f249a0-17
16,0.1111111111111111,0.4444444444444444,302400,280225,83,0.0002744708994708996,0.00029619056115621383,8.129568973533647e-08,Random,d9669406-16
2,0.0,0.5555555555555556,4117715,1688342,913549,0.2218582393390509,0.5410923853105591,0.120045803924768,Enumeration,8cce13a3-2
17,0.0,0.1111111111111111,201600,252000,3600,0.017857142857142856,0.014285714285714284,0.0002551020408163265,Random,d9669406-17
5,0.0,0.7777777777777777,2521050,52239,3350,0.0013288114079451024,0.0641283332376194,8.521446077865375e-05,Enumeration,87f249a0-5
9,0.0,0.6666666666666666,1185408,213334,1224,0.0010325558794946554,0.00573748207036853,5.924270845254191e-06,Enumeration,d9669406-9
7,0.0,0.2222222222222222,1613472,1852015,352615,0.2185442325618294,0.19039532617176427,0.04160980044156742,Enumeration,87f249a0-7
12,0.4444444444444444,0.5555555555555556,615045,389634,641,0.0010422001642156264,0.0016451336382348565,1.7145585479250182e-06,Random,87f249a0-12
17,0.2222222222222222,0.5555555555555556,201600,141841,0,0.0,0.0,0.0,Random,d9669406-17
6,0.0,0.0,2016840,2222640,661500,0.32798833819241985,0.2976190476190476,0.0976155768429821,Random,d9669406-6
21,0.0,0.0,72000,103680,270,0.00375,0.0026041666666666665,9.765625e-06,Random,d9669406-21
15,0.5555555555555556,0.4444444444444444,321365,358659,28,8.712834316120301e-05,7.806858325038546e-05,6.801986311548528e-09,Random,87f249a0-15
19,0.0,0.3333333333333333,129600,171054,195,0.0015046296296296294,0.0011399908800729596,1.7152640556653324e-06,Enumeration,d9669406-19
23,0.0,0.6666666666666666,48000,21874,0,0.0,0.0,0.0,Random,87f249a0-23
18,0.0,0.6666666666666666,172800,50329,0,0.0,0.0,0.0,Random,87f249a0-18
5,0.0,0.0,2521050,2593080,1102500,0.43731778425655976,0.4251700680272109,0.18593443208187066,Random,87f249a0-5
11,0.0,0.1111111111111111,846720,945000,86400,0.1020408163265306,0.09142857142857144,0.009329446064139942,Enumeration,87f249a0-11
13,0.6666666666666666,0.4444444444444444,228784,513892,0,0.0,0.0,0.0,Random,d9669406-13
12,0.6666666666666666,0.5555555555555556,262742,389634,0,0.0,0.0,0.0,Random,87f249a0-12
22,0.3333333333333333,0.4444444444444444,59958,81074,0,0.0,0.0,0.0,Random,87f249a0-22
8,0.6666666666666666,0.5555555555555556,363688,814396,500,0.0013748047777215635,0.0006139519349309181,8.440640534344247e-07,Random,8cce13a3-8
15,0.3333333333333333,0.6666666666666666,377869,81325,0,0.0,0.0,0.0,Random,87f249a0-15
17,0.5555555555555556,0.5555555555555556,173045,141841,0,0.0,0.0,0.0,Random,87f249a0-17
18,0.3333333333333333,0.5555555555555556,172735,126145,0,0.0,0.0,0.0,Random,87f249a0-18
16,0.1111111111111111,0.5555555555555556,302400,183298,0,0.0,0.0,0.0,Random,87f249a0-16
8,0.0,0.0,1382976,1587600,241920,0.1749271137026239,0.1523809523809524,0.02665556018325697,Random,f314817c-8
16,0.6666666666666666,0.1111111111111111,165361,315000,0,0.0,0.0,0.0,Random,d9669406-16
12,0.5555555555555556,0.5555555555555556,501407,389634,78,0.00015556224783459346,0.00020018786861516192,3.114167483099085e-08,Random,87f249a0-12
19,0.0,0.6666666666666666,129600,44266,0,0.0,0.0,0.0,Random,d9669406-19
13,0.0,0.6666666666666666,544320,107473,0,0.0,0.0,0.0,Enumeration,87f249a0-13
19,0.3333333333333333,0.1111111111111111,129553,172800,687,0.005302849027039127,0.003975694444444444,2.1082507416527082e-05,Random,87f249a0-19
6,0.0,0.5555555555555556,2016840,1089390,161229,0.07994139346700779,0.14799933907966845,0.011831273398224878,Random,d9669406-6
13,0.0,0.7777777777777777,544320,17006,0,0.0,0.0,0.0,Enumeration,d9669406-13
20,0.5555555555555556,0.3333333333333333,72858,137233,3,4.117598616486865e-05,2.1860631189291206e-05,9.001330474055508e-10,Random,87f249a0-20
5,0.0,0.6666666666666666,2521050,369172,49498,0.019633882707602,0.1340784241491771,0.0026324800533650537,Random,8cce13a3-5
21,0.5555555555555556,0.3333333333333333,60146,103259,0,0.0,0.0,0.0,Random,87f249a0-21
