id,constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,0.0,1.0,576,1,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,0.0,1.0,3125,1,1,0.00032,1.0,0.00032,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,2,1.0,0.0,1,2000,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,0.0,1.0,64,1,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,9,1.0,1.0,1,1,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,0.0,1.0,3125,1,1,0.00032,1.0,0.00032,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,1.0,0.0,1,540,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,0.0,0.0,1024,960,216,0.2109375,0.225,0.0474609375,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,14,1.0,0.0,5,36,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,2,1.0,0.0,1,2000,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,0.0,1.0,64,1,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,9,1.0,1.0,1,1,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,0.0,1.0,3125,1,1,0.00032,1.0,0.00032,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,1.0,0.0,1,540,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,9,1.0,1.0,1,1,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,14,1.0,0.0,5,36,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,0.0,1.0,64,1,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,2,1.0,1.0,1,1,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,0.0,0.0,1024,960,216,0.2109375,0.225,0.0474609375,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,1.0,0.0,1,540,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,0.0,1.0,3125,1,1,0.00032,1.0,0.00032,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,10,0.0,0.0,144,216,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,14,1.0,1.0,5,1,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,0.0,0.0,1024,960,216,0.2109375,0.225,0.0474609375,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,0.0,1.0,64,1,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,2,1.0,1.0,1,1,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,1.0,0.0,1,540,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,10,0.0,0.0,144,216,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,1.0,0.0,1,108,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,0.0,1.0,1024,1,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,2,1.0,1.0,1,1,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,14,1.0,1.0,5,1,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,1.0,1.0,1,1,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,0.0,1.0,1024,1,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,14,1.0,1.0,5,1,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,10,0.0,0.0,144,216,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,1.0,0.0,1,108,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,2,1.0,1.0,1,1,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,0.0,1.0,1024,1,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,1.0,0.0,1,108,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,10,0.0,0.0,144,216,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,1.0,1.0,1,1,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,3,0.0,0.0,1600,1600,768,0.48,0.48,0.2304,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,0.0,1.0,1024,1,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,14,1.0,1.0,5,1,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,1.0,1.0,1,1,0,0.0,0.0,0.0,constr_rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,10,0.0,1.0,144,1,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,1.0,0.0,1,108,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,0,0.0,0.0,3125,3125,3125,1.0,1.0,1.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,3,0.0,0.0,1600,1600,768,0.48,0.48,0.2304,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,1.0,0.0,1,960,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,1.0,1.0,1,1,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,12,1.0,1.0,1,1,0,0.0,0.0,0.0,rand
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,0,0.0,0.0,3125,3125,3125,1.0,1.0,1.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,10,0.0,1.0,144,1,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,7,1.0,1.0,1,1,0,0.0,0.0,0.0,constr_enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,0,1.0,1.0,1,1,0,0.0,0.0,0.0,enum
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,5,1.0,0.0,1,960,0,0.0,0.0,0.0,enum
