id,constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,success,total_message_count,strat,utility,opponent_utility,transcript
/home/venteda/Documents/pyneg/results/11fef073-d57c-4a81-9b5d-8fe4e7c9631c,4,0.4444444444444444,0.8888888888888888,3104,76,3,0.0009664948453608248,0.03947368421052632,3.815111231687466e-05,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,4,0.7777777777777777,0.4444444444444444,566,3374,43,0.07597173144876325,0.012744516893894487,0.0009682230149071783,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,13,0.3333333333333333,0.6666666666666666,357,170,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,9,0.2222222222222222,0.8888888888888888,956,41,0,0.0,0.0,0.0,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/11fef073-d57c-4a81-9b5d-8fe4e7c9631c,4,0.4444444444444444,0.5555555555555556,3104,2620,938,0.3021907216494845,0.3580152671755725,0.10818889194931927,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,12,0.5555555555555556,0.2222222222222222,375,512,3,0.008,0.005859375,4.6875e-05,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,2,0.2222222222222222,0.5555555555555556,5368,4081,2568,0.4783904619970194,0.6292575349179123,0.30103080284448563,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,11,0.6666666666666666,0.2222222222222222,292,640,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,4,0.5555555555555556,0.7777777777777777,2412,514,37,0.015339966832504144,0.07198443579766536,0.0011042388575927108,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,1,0.4444444444444444,0.8888888888888888,5597,96,60,0.0107200285867429,0.625,0.0067000178667143105,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
